name,vintage,varietal,location,price,score,prediction,difference,bordeauxBlends,syrah,pinot,italy,france,australia
Jaboulet Hermitage La Chapelle,1997,Syrah/Shiraz,Hermitage, Rhone, France,229.97,93,94.39603,-1.39603,0,1,0,0,1,0
M. Chapoutier Ermitage Le Pavillon,1997,Syrah/Shiraz,Hermitage, Rhone, France,225.00,98,94.35355,3.64645,0,1,0,0,1,0
Yarra Yering Underhill Shiraz,1998,Syrah/Shiraz,Yarra Valley, Australia,41.49,91,92.57491,-1.57491,0,1,0,0,0,1
Chateau Latour,1990,Bordeaux Red Blends,Pauillac, Bordeaux, France,540.99,95,96.29359,-1.29359,1,0,0,0,1,0
Chateau Latour,1996,Bordeaux Red Blends,Pauillac, Bordeaux, France,816.97,100,98.65230,1.34770,1,0,0,0,1,0
Chateau Leoville Barton,1996,Bordeaux Red Blends,St. Julien, Bordeaux, France,94.49,94,92.47752,1.52248,1,0,0,0,1,0
d'Arenberg The Footbolt Shiraz,1998,Syrah/Shiraz,McLaren Vale, Australia,11.99,90,92.32278,-2.32278,0,1,0,0,0,1
Chateau Troplong Mondot,2001,Bordeaux Red Blends,St. Emilion, Bordeaux, France,59.99,93,92.18266,0.81734,1,0,0,0,1,0
Chateau Trotanoy,1995,Bordeaux Red Blends,Pomerol, Bordeaux, France,263.99,93,93.92618,-0.92618,1,0,0,0,1,0
Chateau Lynch-Bages (bin soiled labels),1996,Bordeaux Red Blends,Pauillac, Bordeaux, France,209.97,93,93.46449,-0.46449,1,0,0,0,1,0
Chateau La Couspaude,1998,Bordeaux Red Blends,St. Emilion, Bordeaux, France,89.97,92,92.43889,-0.43889,1,0,0,0,1,0
Chateau La Conseillante Bordeaux Pomerol,1998,Bordeaux Red Blends,Pomerol, Bordeaux, France,81.99,90,92.37069,-2.37069,1,0,0,0,1,0
Chateau Le Bon Pasteur Pomerol,2000,Bordeaux Red Blends,Pomerol, Bordeaux, France,124.99,94,92.73819,1.26181,1,0,0,0,1,0
Chateau La Mission Haut-Brion,1994,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,97.49,92,92.50316,-0.50316,1,0,0,0,1,0
Tenuta Guado al Tasso,1998,Bordeaux Red Blends,Bolgheri, Tuscany, Italy,115.00,92,92.28329,-0.28329,1,0,0,1,0,0
Tatachilla McLaren Vale Shiraz,1999,Syrah/Shiraz,McLaren Vale, Australia,25.99,87,92.44244,-5.44244,0,1,0,0,0,1
Carruades de Lafite,1998,Bordeaux Red Blends,Pauillac, Bordeaux, France,229.00,90,93.62713,-3.62713,1,0,0,0,1,0
Chateau L'Evangile,1998,Bordeaux Red Blends,Pomerol, Bordeaux, France,329.97,94,94.49008,-0.49008,1,0,0,0,1,0
Alain Voge Cornas Vieilles Fontaines,1996,Syrah/Shiraz,Cornas, Rhone, France,53.99,91,92.89200,-1.89200,0,1,0,0,1,0
Delas Cote Rotie Maugiron,1997,Syrah/Shiraz,Cote Rotie, Rhone, France,54.99,91,92.90054,-1.90054,0,1,0,0,1,0
Penfolds Grange,1996,Syrah/Shiraz,Australia,419.00,92,95.80135,-3.80135,0,1,0,0,0,1
Kay Brothers Hillside Shiraz,1999,Syrah/Shiraz,McLaren Vale, Australia,57.99,96,92.71593,3.28407,0,1,0,0,0,1
d'Arenberg The Footbolt Shiraz,1999,Syrah/Shiraz,McLaren Vale, Australia,19.99,89,92.39116,-3.39116,0,1,0,0,0,1
Hewitson Barossa Valley Shiraz,1999,Syrah/Shiraz,Barossa Valley, Barossa, Australia,34.99,91,92.51936,-1.51936,0,1,0,0,0,1
Boillot, Jean Boillot & Fils Beaune Clos du Roi Premier Cru,1999,Pinot Noir,Burgundy, France,58.99,88,91.20200,-3.20200,0,0,1,0,1,0
Boillot, Jean Boillot & Fils Beaune Les Epenottes Premier Cru,1999,Pinot Noir,Burgundy, France,53.99,91,91.15927,-0.15927,0,0,1,0,1,0
Boillot, Jean Boillot & Fils Savigny Beaune Les Lavieres Premier Cru,1999,Pinot Noir,Burgundy, France,53.99,87,91.15927,-4.15927,0,0,1,0,1,0
Clarendon Hills Moritz Syrah,1999,Syrah/Shiraz,McLaren Vale, Australia,48.99,92,92.63901,-0.63901,0,1,0,0,0,1
Jim Barry The Armagh Shiraz,1998,Syrah/Shiraz,Clare Valley, Australia,96.99,92,93.04925,-1.04925,0,1,0,0,0,1
Chateau Ducru-Beaucaillou,1998,Bordeaux Red Blends,St. Julien, Bordeaux, France,159.99,91,93.03732,-2.03732,1,0,0,0,1,0
Domaine M & S Ogier Cote Rotie,1998,Syrah/Shiraz,Cote Rotie, Rhone, France,47.49,90,92.83644,-2.83644,0,1,0,0,1,0
Domaine M & S Ogier Cote Rotie Cuvee Belle Helene,1998,Syrah/Shiraz,Cote Rotie, Rhone, France,87.99,94,93.18257,0.81743,0,1,0,0,1,0
